,part_number,description_x,qty,unit,location,tracking,expiration,lot,available_x,data_available,data_available_flag,part,description_y,uom,onhand,allocated,notavailable,dropship,available_y,onorder,committed,short,Commited_flag
407,PS#10149,"Organic red 2"" sticker roll 1000ea","5,000.00",ea,Warehouse Floor,,,,1,0,0,PS#10149,"Organic red 2"" sticker roll 1000ea",ea,"5,000.00",0.00,0.00,0.0,"5,000.00",0.00,0.00,0.00,0
408,PS#10151,Economy Cable Gun,12.00,ea,Warehouse Floor,,,,1,0,0,PS#10151,Economy Cable Gun,ea,12.00,0.00,0.00,0.0,12.00,0.00,0.00,0.00,0
409,PS#10153,Polypropylene Beard Nets - White 100/pack,40.00,ea,Stock Bin # B36,,,,1,0,0,PS#10153,Polypropylene Beard Nets - White 100/pack,ea,40.00,0.00,0.00,0.0,40.00,0.00,0.00,0.00,0
410,PS#10158,MRP-45-400 Green Ribbed Pressure Sensitive liner Lid (MRPGN05),730.00,ea,Stock Bin # C28,"Lot#: 201711468355
",,"201711468355
",1,0,0,PS#10158,MRP-45-400 Green Ribbed Pressure Sensitive liner Lid (MRPGN05),ea,730.00,0.00,0.00,0.0,730.00,0.00,0.00,0.00,0
411,PS#10161-ALPHA,250cc Black PET Bottles 45-400 neck finish,370.00,ea,Stock Bin # B4,"Lot#: M210620
",,"M210620
",1,0,0,PS#10161-ALPHA,250cc Black PET Bottles 45-400 neck finish,ea,"25,602.00","51,608.00",0.00,0.0,0.00,0.00,0.00,"26,006.00",0
412,PS#10161-ALPHA,250cc Black PET Bottles 45-400 neck finish,"4,488.00",ea,Stock Bin # B8,"Lot#: M210620
",,"M210620
",1,0,0,PS#10161-ALPHA,250cc Black PET Bottles 45-400 neck finish,ea,"25,602.00","51,608.00",0.00,0.0,0.00,0.00,0.00,"26,006.00",0
413,PS#10161-ALPHA,250cc Black PET Bottles 45-400 neck finish,700.00,ea,Stock Bin # B10,"Lot#: P212511
",,"P212511
",1,0,0,PS#10161-ALPHA,250cc Black PET Bottles 45-400 neck finish,ea,"25,602.00","51,608.00",0.00,0.0,0.00,0.00,0.00,"26,006.00",0
414,PS#10161-ALPHA,250cc Black PET Bottles 45-400 neck finish,810.00,ea,Stock Bin # B6,"Lot#: M210620
",,"M210620
",1,0,0,PS#10161-ALPHA,250cc Black PET Bottles 45-400 neck finish,ea,"25,602.00","51,608.00",0.00,0.0,0.00,0.00,0.00,"26,006.00",0
415,PS#10161-ALPHA,250cc Black PET Bottles 45-400 neck finish,290.00,ea,Stock Bin # B8,"Lot#: P203208
",,"P203208
",1,0,0,PS#10161-ALPHA,250cc Black PET Bottles 45-400 neck finish,ea,"25,602.00","51,608.00",0.00,0.0,0.00,0.00,0.00,"26,006.00",0
416,PS#10162,45-400 Black Ribbed Pressure Sensitive liner Matte Top finish,"1,500.00",ea,Stock Bin # C24,"Lot#: 201812513994
",,"201812513994
",1,0,0,PS#10162,45-400 Black Ribbed Pressure Sensitive liner Matte Top finish,ea,"1,500.00",0.00,0.00,0.0,"1,500.00",0.00,0.00,0.00,0
417,PS#10163,38-400 Black Ribbed Pressure Sensitive Liner 3100/case Matte top finish,"17,676.00",ea,Stock Bin # C30,"Lot#: 201812513993
",,"201812513993
",1,0,0,PS#10163,38-400 Black Ribbed Pressure Sensitive Liner 3100/case Matte top finish,ea,"20,576.00",0.00,0.00,0.0,"20,576.00",0.00,0.00,0.00,0
418,PS#10163,38-400 Black Ribbed Pressure Sensitive Liner 3100/case Matte top finish,"2,900.00",ea,Stock Bin # C30,"Lot#: POM1004866-1
",,"POM1004866-1
",1,0,0,PS#10163,38-400 Black Ribbed Pressure Sensitive Liner 3100/case Matte top finish,ea,"20,576.00",0.00,0.00,0.0,"20,576.00",0.00,0.00,0.00,0
419,PS#10165,"6 x 8"" 4 Mil White Block Reclosable Bags 1,000/carton",6.00,ea,Stock Bin # B38,,,,1,0,0,PS#10165,"6 x 8"" 4 Mil White Block Reclosable Bags 1,000/carton",ea,6.00,0.00,0.00,0.0,6.00,0.00,0.00,0.00,0
420,PS#10166,"MRP-45-400 Black Ribbed, Pressure Sensitive liner, shiny top lid","1,745.00",ea,Stock Bin # C24,"Lot#: 201901515332
",,"201901515332
",1,0,0,PS#10166,"MRP-45-400 Black Ribbed, Pressure Sensitive liner, shiny top lid",ea,"1,745.00",0.00,0.00,0.0,"1,745.00",0.00,0.00,0.00,0
421,PS#10168,8 oz Black PET Canister (70-400),250.00,ea,Stock Bin # C15,"Lot#: P200328
",,"P200328
",1,0,0,PS#10168,8 oz Black PET Canister (70-400),ea,"4,320.00",0.00,0.00,0.0,"4,320.00",0.00,0.00,0.00,0
422,PS#10168,8 oz Black PET Canister (70-400),"3,840.00",ea,Stock Bin # C15,"Lot#: P201754
",,"P201754
",1,0,0,PS#10168,8 oz Black PET Canister (70-400),ea,"4,320.00",0.00,0.00,0.0,"4,320.00",0.00,0.00,0.00,0
423,PS#10168,8 oz Black PET Canister (70-400),150.00,ea,Stock Bin # C15,"Lot#: 201907538308
",,"201907538308
",1,0,0,PS#10168,8 oz Black PET Canister (70-400),ea,"4,320.00",0.00,0.00,0.0,"4,320.00",0.00,0.00,0.00,0
424,PS#10168,8 oz Black PET Canister (70-400),80.00,ea,Stock Bin # C15,"Lot#: 201754
",,"201754
",1,0,0,PS#10168,8 oz Black PET Canister (70-400),ea,"4,320.00",0.00,0.00,0.0,"4,320.00",0.00,0.00,0.00,0
425,PS#10169,MRP-70-400 Red Lid  Smooth Sides Heat Seal liner,760.00,ea,Stock Bin # C28,"Lot#: 201505357190
",,"201505357190
",1,0,0,PS#10169,MRP-70-400 Red Lid  Smooth Sides Heat Seal liner,ea,760.00,0.00,0.00,0.0,760.00,0.00,0.00,0.00,0
426,PS#10172,"3cc Natural Scoop Medium Handle (3"")","1,100.00",ea,Stock Bin # C32,"Lot#: 4322123
",,"4322123
",1,0,0,PS#10172,"3cc Natural Scoop Medium Handle (3"")",ea,"1,100.00",0.00,0.00,0.0,"1,100.00",0.00,0.00,0.00,0
427,PS#10173,38-400 Black Smooth Lid - Heat Inductive Liner,"1,600.00",ea,Stock Bin # C28,,,,1,0,0,PS#10173,38-400 Black Smooth Lid - Heat Inductive Liner,ea,"1,600.00","1,320.00",0.00,0.0,280.00,0.00,0.00,0.00,0
428,PS#10175,Maxï¿½ Earplugs - Corded 100 pairs/box,10.00,ea,Warehouse Floor,,,,1,0,0,PS#10175,Maxï¿½ Earplugs - Corded 100 pairs/box,ea,13.00,0.00,0.00,0.0,13.00,0.00,0.00,0.00,0
