,part_number,description_x,lot,qty
577,PS#10312-AMCOR,250cc White PET Bottle 45-400,"3441402
",50.00
959,R1233,00 K-CAPS Vegetable Origin Capsules,"K2106001338
","50,000.00"
1206,R351,White Willow Bark Extract 4:1,"SB18-H030427
",5.808
1140,R227,D-Calcium Pantothenate,"JWTMBWFSG-T-122502
",5.758
819,R1075,Wildcrafted Blue Vervain,"CMBC-C-902698
",5.667
1577,R996,Lyceum (Wolfberry/Goji) Berry Powder (Lycium Barbarum),"CGQ-E-802304M
",5.647
771,R102,Black Walnut Hull Powder,"BW180831
",5.637
1054,R1345,Bitter Melon Powder,"MCMP14120
",5.60
1428,R768,Rhodiola Rosea Root Powder,"RRP-20210519
",5.60
1521,R913,Clove Powder (Flower) (Organic),"19G203-948
",5.573
1075,R1372,Tribulus Terrestris (95% saponins),"GLA-TTE21012501
",5.50
931,R1208,Lemon Balm Extract (5% Rosmarinic Acid HPLC),"20200302
",5.50
1379,R679,Reishi Mushroom Powder,"20200515
",5.50
1528,R921,Organic Dandelion Root Powder (Taraxacum officinale) (Organic),"95888-53
",5.454
1360,R626,"Amylase 50,000 SKB/g","FA50-HD30
",5.40
909,R1178,Organic Saffron Extract 10:1,"TM20200610
",5.35
1296,R471,Chamomile Extract 4:1,"YGJ-201021
",5.35
1249,R416,Yohimbe Bark Extract 8%,"SB20-H040561
",5.327
1407,R719,Opadry Brown 03B165003,"WP833015
",5.3006
1099,R161,Red Raspberry Leaf Extract 4:1,"21052808-2
",5.248
816,R1072,VitaCholineÃ¯Â¿Â½,"1906500177
",5.225
797,R1044,Grape Seed Powder,"CPTZ-C-702680
",5.19
1223,R382,Marshmallow Powder,"CSK-A-902195
",5.105
1038,R1329,Boswellia Serrata Extract (gum) (20% AKBA) (ApresFlexÃÂ®),"F20100120
",5.10
868,R1131,BIO-CAT Food Enzyme Complex Blend,"FECB-BD23
",5.065
613,PS#10365,Ã¯Â»Â¿.05x77x500 Clear Roll,,5.00
638,PS#10398,.05x70x500M Clear Roll,"1
",5.00
635,PS#10395,".05x66x500M Clear with black print ""S4YP""",,5.00
489,PS#10240,"ULINE ECONOMY LAB COAT WITH NO POCKETS - NAVY, 2XL","S-15374NB
",5.00
1185,R308,Chromium Aminomin 10%,"1027455
",5.00
488,PS#10240,"ULINE ECONOMY LAB COAT WITH NO POCKETS - NAVY, 2XL","S-15374W-3X
",5.00
1225,R386,Pygeum Africanum Extract 4:1,"CTGM-C-A002084
",5.00
60,FG285,Blood Sugar Ultra - Sample Bottle 60ct,"BSU90809
",5.00
490,PS#10240,"ULINE ECONOMY LAB COAT WITH NO POCKETS - NAVY, 2XL","15374NB
",5.00
1559,R968,CeolusÃ¯Â¿Â½ Microcrystalline Cellulose,"K8A1
",5.00
1129,R213,L-Glycine,"20200726
",5.00
643,PS#10403,16cc Long Handle Scoop Natural Color,"4332338
","5,823.00"
597,PS#10346,"38-400 White Ribbed Sides, universal lift & peel heat liner","202101596823
","5,800.00"
137,L#318,"Dr. Barry's Remedies, Hiatal Health Tablet - 90 ct",,"5,750.00"
437,PS#10210,COMAR - 150cc Cobalt Blue PET 38-400 (PX-short),"22420965
","5,440.00"
389,PS#10161-ALPHA,250cc Black PET Bottles 45-400 neck finish,"P212511
","5,200.00"
183,PS#10001-SETCO,100cc White HDPE Bottle 38-400 650/case,"C82779591
","5,184.00"
594,PS#10341,6cc Natural Short Handle Scoop,"4327901
","5,000.00"
433,PS#10204,"Green 3 X 5"" HOLD Slip - Packaging Dept 1000/Roll",,"5,000.00"
381,PS#10149,"Organic red 2"" sticker roll 1000ea",,"5,000.00"
1277,R451,Orchic Substance (Bovine),"7604
",49.88
1119,R191,Green Tea Extract 4:1,"SB21-H081083
",49.88
706,R047,Magnesium Citrate 16%,"NMF20047
",49.87
1550,R959,Maca Extract 0.6% Macamides and Macaenes HPLC (6:1) - Jiaherb,"CMAK-C-A002561
",49.87
722,R052,White Willow Bark Extract 15%,"WW20050815
",49.845
686,R029,Tribulus Terrestris Extract 45%,"CJL210426-1
",49.845
1134,R218,L-Glutamine,"6210717048
",49.845
1482,R861,Panax Ginseng (Leaf) Extract (Std. to 20% Ginsenosides),"CRS-C-A102537
",49.845
727,R055,Boswella Serrata 65%,"NIGBS65-2106V437122
",49.781
1553,R960,Cocoa Bean Extract 6% Theobromine HPLCÃ¯Â¿Â½,"CKK-C-902777
",49.009
158,L#477,"Embrace Pangaea, BioForceÃ¢ÂÂ¢ - 120 ct Label",,477.00
