Quality Supplement Mfg,,,,,,,
On Hand,,,,,,,
 ,,,,,,,
Part Number,Description,Qty,,Location,Tracking,,
R338,Cat's Claw Bark Powder,3.61,kg,Expired D55,"ExpDate: 2021-01-08

Lot#: CCP/19-03-042
",,
R490,Catethin™ Green Tea Extract 80% Catechins 60% EGCG,18.30,kg,Expired D55,"ExpDate: 2021-08-30

Lot#: 34HX190603-201906122
",,
R562,Opadry Black 03B177000,3.362,kg,Expired D55,"ExpDate: 2020-12-02

Lot#: WP820643
",,
R562,Opadry Black 03B177000,3.883,kg,Expired D55,"ExpDate: 2018-10-04

Lot#: WP788811
",,
R562,Opadry Black 03B177000,9.20,kg,Expired D55,"ExpDate: 2020-06-25

Lot#: WP814569
",,
R562,Opadry Black 03B177000,14.00,kg,Expired D55,"ExpDate: 2021-11-09

Lot#: WP834503
",,
R588,Opadry II Red 85F150084 (do not order)(Reference R625),9.40,kg,Expired D55,"ExpDate: 2018-01-14

Lot#: WP785431
",,
R625,Opadry Red 03B150021,3.53,kg,Expired D55,"ExpDate: 2019-10-27

Lot#: WP8120556
",,
R633,Opadry Green 03B110025,11.00,kg,Expired D55,"ExpDate: 2018-09-12

Lot#: WP787849
",,
R633,Opadry Green 03B110025,3.267,kg,Expired D55,"ExpDate: 2020-10-29

Lot#: WP819493
",,
R650,Prunella Vulgaris (aerial) (self heal) 5:1,15.053,kg,Expired D55,"ExpDate: 2021-04-07

Lot#: PRU20190408-R
",,
R698,Glucuronolactone,22.993,kg,Expired D55,"ExpDate: 2021-10-31

Lot#: 201910046
",,
R707,Opadry Blue 03B10883,4.80,kg,Expired D55,"ExpDate: 2020-01-31

Lot#: WP793853
",,
R879,Chanca Piedra Extract 10:1,16.915,kg,Expired D55,"ExpDate: 2021-09-17

Lot#: 18091805
",,
R956,Rhodiola Rosea Extract (3% Salidroside)�,13.244,kg,Expired D55,"ExpDate: 2021-04-11

Lot#: RH20190412-R
",,
R990,Nettle Leaf Extract 0.8% Beta Sisterol GC 10:1,0.784,kg,Expired D55,"ExpDate: 2021-02-28

Lot#: CQM-A-04370
",,
R1006,Organic Holy Basil Powder,11.00,kg,Expired D58,"ExpDate: 2020-01-04

Lot#: 10318
",,
R1027,Organic Blessed Thistle Powder,4.854,kg,Expired D58,"ExpDate: 2021-02-01

Lot#: 0922A-OUP
",,
R104,Cloves (stem) Powder,0.377,kg,Expired D58,"ExpDate: 2021-10-31

Lot#: SB18-H111750
",,
R1071,Nu-MAG® Organic (Rice Extract Blend),3.306,kg,Expired D58,"ExpDate: 2021-05-22

Lot#: 140-19EU
",,
R1076,Organic Hops,1.626,kg,Expired D58,"ExpDate: 2021-07-01

Lot#: 20180701
",,
R1078,Organic Valerian Root,16.538,kg,Expired D58,"ExpDate: 2021-05-05

Lot#: CXC-A-802431
",,
R1141,Organic Caraway Seed Powder,9.83,kg,Expired D58,"ExpDate: 2021-07-31

Lot#: SWC9484903112519
",,
R1182,Organic Black Elderberry (Sambucus Nigra) P.E. 10:1,7.023,kg,Expired D58,"ExpDate: 2021-06-23

Lot#: HK200316
",,
R1272,Organic Cinnamon Ceylon Powder (Cinnamomum verum),4.00,kg,Expired D58,"ExpDate: 2021-08-02

Lot#: 90612-50
",,
R408,Horny Goat Weed (Epimedium Extract) P.E. 4:1,3.364,kg,Expired D58,"ExpDate: 2021-04-01

Lot#: SB18-H050776
",,
R621,Organic Brown Rice Protein 80%,11.623,kg,Expired D58,"ExpDate: 2019-12-01

Lot#: 2017121902
",,
R751,Organic Black Maca Powder,7.00,kg,Expired D58,"ExpDate: 2020-01-03

Lot#: MNPO-180400173
",,
R753,Organic Yellow Maca Powder,10.00,kg,Expired D58,"ExpDate: 2020-01-05

Lot#: MAPO-180500258
",,
R777,Organic Bilberry Extract,24.017,kg,Expired D58,"ExpDate: 2021-01-15

Lot#: LGB-YJOY20170122
",,
R817,"Beta-1,3 / 1,6-Glucan 70%",27.984,kg,Expired D58,"ExpDate: 2021-12-14

Lot#: 20191215069
",,
R821,Organic Psyllium Husk powder 95%,8.70,kg,Expired D58,"ExpDate: 2020-01-07

Lot#: 2964-1
",,
R844,Organic Red Maca Powder (Gelatinized),40.00,kg,Expired D58,"ExpDate: 2020-01-05

Lot#: 3002-38-051717
",,
R844,Organic Red Maca Powder (Gelatinized),137.00,kg,Expired D58,"ExpDate: 2020-09-25

Lot#: OMGR201809-26
",,
R844,Organic Red Maca Powder (Gelatinized),6.038,kg,Expired D58,"ExpDate: 2020-09-17

Lot#: OMGR201809-18
",,
R870,Organic Pumpkin Seed Powder,20.678,kg,Expired D58,"ExpDate: 2021-04-26

Lot#: CNGZ-C-807287
",,
R871,Organic Chia Seed Powder,17.39,kg,Expired D58,"ExpDate: 2021-11-06

Lot#: 92832-50
",,
R872,Organic Flax Seed Powder,1.81,kg,Expired D58,"ExpDate: 2021-08-29

Lot#: CYAMZ-A-802794
",,
R872,Organic Flax Seed Powder,22.77,kg,Expired D58,"ExpDate: 2021-12-10

Lot#: 93156-53
",,
R874,Organic Blueberry Fruit,17.164,kg,Expired D58,"ExpDate: 2020-12-27

Lot#: B20171228
",,
R875,Organic Raspberry Fruit,22.12,kg,Expired D58,"ExpDate: 2021-11-02

Lot#: C19021201
",,
R922,Rhodiola Rosea Root Powder (Organic),16.216,kg,Expired D58,"ExpDate: 2021-07-13

Lot#: CHJT-A-802664
",,
R932,Organic Lemon Peel,0.708,kg,Expired D58,"ExpDate: 2021-12-04

Lot#: P80529
",,
R933,Organic Spirulina,8.642,kg,Expired D58,"ExpDate: 2021-04-23

Lot#: YJOGS180405
",,
R952,Organic Green Papaya Powder,11.58,kg,Expired D58,"ExpDate: 2020-01-03

Lot#: TM180320
",,
R952,Organic Green Papaya Powder,2.877,kg,Expired D58,"ExpDate: 2022-01-01

Lot#: TM200102
",,
R1256,Natural Caffeine Anhydrous (from Coffee Robusta),26.00,kg,Expired E49,"ExpDate: 2021-12-13

Lot#: NDP219-18-90189-90386
",,
